"","EGFR","Ruthenium_1","Ruthenium_2","Ruthenium_3","Ruthenium_4","Ruthenium_5","Ruthenium_6","Ruthenium_7","E-Cadherin","DNA1","DNA2","Rabbit IgG H L","GATA3","Histone H3 antibody 1","Ki-67","SMA","Vimentin","cleaved PARP","Cleaved Caspase3","Her2","p53","pan Cytokeratin","Cytokeratin 19","Progesterone Receptor A/B antibody 1","Progesterone Receptor A/B antibody 2","c-Myc","Fibronectin","Cytokeratin 14","Slug","CD20","vWF","CD31","Histone H3 antibody 2","Cytokeratin 5","CD44","CD45","CD68","CD3","Carbonic Anhydrase IX","Cytokeratin 8/18","Cytokeratin 7","Twist","phospho Histone","phospho mTOR","phospho S6"
"BaselTMA_SP41_186_X5Y4_3679",0.346787047240784,0.962155972321163,0.330768187877474,1.21347557766054,1.26704845953417,1.47696132655167,2.03249074713978,1.66667914945849,0.93835356771468,1.2833041995064,1.86368761310507,0.466489214941347,0.244890196558416,2.04752228201769,0.0511205790917675,1.80873439794322,2.21508898335786,0.7583786651835,0.7583786651835,0.609694070503616,0.114631399046204,0.771351604986124,0.190923353249827,0.469241390480606,0.469241390480606,0.702256166813955,1.82990478080617,0.195162998697736,0.895250095651821,0.102576096492212,0.196532020665837,0.196532020665837,0.378715442062636,0.0952830657795986,3.02727986055472,0.22773042828179,2.22725204111907,0.100401264425715,0.610253993946413,0.461039843385388,0.0570500035351669,0.380755429224875,0.585807924657175,0.698111231437967,1.10055212075983
"BaselTMA_SP41_153_X7Y5_246",0.833751713754184,1.07555159349581,0.419977137830632,1.36904891724053,1.38510442154998,1.58096065744889,2.18725909884127,1.96079876423358,1.3648836721931,0.127792396053398,0.22273370924945,0.0336298327740308,0.0925740888060722,1.3943559639409,0.124829142069182,0.417368861182305,0.502627046519823,1.83984371754829,1.83984371754829,1.06222850768189,0.0576558048257111,3.96324775701218,0.685857600244038,0.790448155112534,0.790448155112534,0.221977343773408,1.22699366059647,0.234852785939525,0.140354568655079,0.108136779704521,0.186522998354188,0.186522998354188,0.590925322859825,0.124030572349119,3.20449996828997,0.0685260575422342,0.208297096932395,0.017636771624175,0.530535821943696,0.382767473021456,0.485329985449853,0.438033650062408,0.208752125140248,1.55517743264482,0.537370074120078
"BaselTMA_SP41_20_X12Y5_197",0.110005567928629,0.908453513733461,0.301166333489085,1.28738891851379,1.30072755877247,1.50738783681626,2.04995700824001,1.76010026873029,0.177361133664399,1.4141781160665,1.90714973665951,0.068663109395445,0.0717034810879896,3.17200986929462,0.00221569141068309,0.699188658773044,0.810242720776149,0.411342260013832,0.411342260013832,0.160134833746124,0.0242299418730982,0.0481001951809713,0.115978586473074,0.267758315227622,0.267758315227622,0.00545522558118135,2.22252017971491,0.072666389934672,0.0350464345677026,0.049808714878477,0.0753587892193527,0.0753587892193527,1.01404950465206,0.0527496445914149,2.46825972968954,0.301222425821063,0.581624497338792,0.0943160163408072,0.118011969465466,0.0202895293724115,0.035874795820643,0.126654304502357,0.149069425172692,0.436153134867584,0.206609993375435
"BaselTMA_SP41_14_X1Y8_84",0.282666026986334,0.865982850277527,0.35037342731126,1.24080330000694,1.26476734524879,1.4711312333195,2.01217089303765,1.76681913090755,1.12217385011374,1.97042552866335,2.46486054364213,0.0424973523957035,0.224434085481671,2.18575379428022,0.0596440129327186,0.952200469952695,1.7424947996363,0.500114063874297,0.500114063874297,1.1334481475945,0.0667516847019207,1.9171177976488,0.652143188390627,0.424230426572358,0.424230426572358,0.334263072587234,1.40274997019934,0.165863452505002,0.323349494344964,0.0242561104777582,0.00302669325673764,0.00302669325673764,0.582610709267869,0.0933519987084411,3.43734260720799,0.606941346622782,0.490981900407575,0.140440961450973,0.427475144111344,0.904383259548227,0.351699680717453,0.213557516560115,0.35939299870321,0.453541616942862,0.465658499946612
"BaselTMA_SP41_166_X15Y4_266",0.20906640828291,1.54190719637935,0.56802481231213,1.96340705819228,1.78399486543631,2.10399415205881,2.66852618878456,2.57211855054391,0.402554373171704,0.679818046023407,0.940542510215112,0.159704320054402,0.392568418413385,1.86344952397794,0,0.153022240620173,1.6595874941882,0.586498169727221,0.586498169727221,0.558438637133392,0.0307074429416134,0.687005428873189,0.0862354500509267,0.368888561668044,0.368888561668044,0.0892437020590712,2.66994698693138,0.162695655267072,0.090568765137014,0.138571246195066,0.0557215159604414,0.0557215159604414,0.427323209647378,0.0645452715312578,4.15490133843485,0.588272900158453,1.03996657600162,0.111722357734596,0.260801346006149,0.0469674971029595,0.00962745910359658,0.0534617057235977,0.0706804775923939,0.398054321296372,0.254688947495222
"BaselTMA_SP41_117_X13Y3_4413",0.15442561298813,0.885174679367897,0.416466083012247,1.3446905970174,1.34872976657511,1.55102773036964,2.08523036567076,1.79479659671585,1.31310400141289,1.64355664302921,2.16529428841432,0.202253049268303,1.02204768026998,1.68552479061935,0.0186897147751058,0.209582530116706,0.192580357695756,0.32897399592505,0.32897399592505,1.22770294924619,0.0621941671238727,2.00238457115706,1.02942184099477,0.279458723503919,0.279458723503919,0.350423905882335,0.370340706789728,0.0471170268358622,0.107465565882597,0.0760489557645497,0.0193746606226531,0.0193746606226531,0.350904673662673,0.0633168020968974,1.86289478941897,0.0212862940811128,0.0682063344001496,0.00792758261317401,0.296565137099621,1.12343312010417,0.126709571646944,0.101371783846239,0.158302211302637,0.554630011644182,0.114013866951702
"BaselTMA_SP41_133_X3Y6_1249",0.375155947688945,1.04388935369504,0.388760722717204,1.36514046612428,1.17829121346831,1.5609986531439,2.19239135067483,1.88757928696624,1.46835015494096,0.921899221449862,1.35745045411297,0.0478010400763068,0.107189116434528,2.29285063889215,0.00770535564315827,0.468252522966433,0.517377207199848,0.805087054803481,0.805087054803481,0.414767096742843,0.16066908695707,1.6191917690638,0.216779049208401,0.272713451549085,0.272713451549085,0.154940514614309,1.91870462815661,1.28598245999431,0.155685549350872,0.0892668528855923,0.0710841924361921,0.0710841924361921,0.208933984921249,1.04012022681887,2.45064557037551,0.0717651644152786,0.122981729112399,0.0776093745285355,0.40848374374068,0.170949753606994,0.0138500124349435,0.154468789232746,0.108619365780636,0.60040188515276,0.439670579755668
"BaselTMA_SP41_206_X2Y2_140",0.349572119747073,0.758548103230225,0.410185880980767,1.12919766486837,1.17317176907852,1.38199173592146,1.81820539764511,1.57901909273268,0.330652142744335,1.09942361576937,1.5939711494642,0.0609233116682206,0.0233971663119892,1.84965277437293,0.043107074217706,0.395980877878837,1.10195874418038,0.307140671239855,0.307140671239855,0.1397489435708,0.0164472611257296,0.0215995314264909,0.066720649693941,0.42575088865506,0.42575088865506,0.178103284653365,1.99154627925297,0.0634852380391272,0.0433747233711659,0.0184713486820621,0,0,0.22326528043141,0.0610796236073905,1.77540708987171,0.0621413105676286,0.00782186774036204,0.0232871993482218,0.19662460931207,0.0234606324835436,0,0.0665817537747111,0.0944005547010075,0.351612089946343,0.109190026436134
"BaselTMA_SP41_112_X5Y8_690",0.384300015053913,0.833981048280824,0.249824434501228,1.15394187954326,1.07710490863027,1.45460721444687,1.90611939038287,1.56224852950945,1.7685060607762,1.43172975909512,1.77115422709896,0.0961219958892711,0.267348405894828,3.2085693753353,0.214843119764746,2.64852101540087,0.671336529621799,0.487521011109016,0.487521011109016,0.662581855578112,0.0170333947704345,2.7586160103895,0.583528524680889,0.545005714105416,0.545005714105416,0.430598728241444,0.764440576781658,0.354311266380433,0.0710089003771408,0,0.0821117671942933,0.0821117671942933,0.956382861108509,0.263928148367415,2.92005078144753,0.0771894004126109,0.294788194613285,0.00167704345196522,0.772395671180478,0.698769252122762,0,0.258260935412794,0.116164766731352,0.6591033166215,0.153106072248731
"BaselTMA_SP41_134_X3Y8_449",0.271565513815165,0.727961230455953,0.212932363906368,1.16621955030458,1.09327777482352,1.29970472267574,1.89172930920112,1.62850367645051,0.370905241281102,0.983931269284799,1.3836865387516,0.112902015961734,0.121781374525719,1.80108096184982,0.022367113507576,0.172699604404313,1.15837431658923,0.43056316669482,0.43056316669482,0.279059839687942,0.0114828350386671,0.0217242675302676,0.02049364891619,0.315417133851557,0.315417133851557,0.0800140195501699,2.36441176816873,0.0442383380234195,0.17386812339866,0.0413124464460759,0.0923440495267487,0.0923440495267487,0.467494421426773,0.0704076152442274,3.3270840092564,0.468854394212712,0.271794560986659,0.0301122162333693,0.211779869009784,0.00645145352138529,0,0.126589919883032,0.116140912858477,0.443363837039353,0.237733185728044
"BaselTMA_SP41_133_X3Y6_1318",0.463525105283445,0.828387445160766,0.342019832408124,1.20072977941272,1.04253145089841,1.37782020792232,1.87809179165845,1.54208547908795,1.21546234489672,1.27269085587256,1.82132225590678,0.101079024505633,0.322002778355329,2.2385422875063,1.27683043571998,0.867548514957153,0.550921657114685,0.514669150684161,0.514669150684161,1.12202907380453,0.252185034449597,1.80750950571542,0.183156322011053,0.47565586882513,0.47565586882513,0.42446046897286,0.856769070349006,1.64954852202799,0.117198977507132,0,0.0399531274234252,0.0399531274234252,0.348707991415661,1.37622466600941,2.2870403869295,0.0566110233003904,0.0834044014285888,0.0370314238974695,0.618560027755788,0.0948398674929322,0.0391624307426826,0.181067090324252,0.170407777508138,0.644962498782903,0.698786982437854
